#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000631desc;"The land contained within southern Ingermannland was the Germanic pilgrim's first destination for the drive towards our far eastern borders. With the shores of Lake Peipus to the west and the stronghold of Holmgard to the east, we have completed the first steps in settling this distant territory of the Reich.\n \nThe city of Novgorod, now rechristened ""Holmgard"", was the easternmost trading post of the Hanseatic League that was once economically dominant over trade in the Baltic Sea. Our renaming of this key city is also in honor of the mythical Norse sagas that told stories of this land in ancient times.\n \nOur settlers have established homesteads and farms in the area, and German administrators control all of the day to day operations in Holmgard. The city will serve as the nexus of our expanding influence as we move north towards the Baltic coast, and then eventually into the heart of Russia itself.";;;;;;;;;;X;
1000631a;Holmgard stands as our bastion in the east.;;;;;;;;;;X;
1000632name;Generalplan Ost - Ingermannland: Phase Two;;;;;;;;;;;
1000632desc;Finally, after several years of the efforts of volkisch Wehrbauer to civilize and cultivate the heart of Ingermannland, we have been able to firmly establish our control over the Baltic coast, the areas to the north of Holmgard, and establish a settlement in Adolfsburg. The old ruins of Leningrad have been completely swept away, its degenerate influence having been cleansed by the purifying fires of the Reich.\n \nIn its place, small German hamlets are beginning to dot the landscape as our consolidation of the east continues. Adolfsburg will be the new gateway to the east once this area has been completely Germanized, and progress on the new city is now far enough along that it can begin serving as a hub for supplies and transportation for our brave pilgrims.\n \nEnough time has passed that we are now seeing our settlers establish trade routes from Holmgard to the Baltic Sea, and reports of harassment by the native population have now all but disappeared. This territory that was unjustly stolen from the Swedish Empire in 1710 has now returned to its rightful Germanic-Nordic owners, the only ones capable of cultivating this distant countryside into a shining beacon of prosperity.;;;;;;;;;;X;
1000632a;The new city of Adolfsburg stands as a testament to our will.;;;;;;;;;;X;
1000633name;Generalplan Ost - Ingermannland: Phase Three;;;;;;;;;;;
1000633desc;With the growing prosperity of Holmgard and Adolfsburg, our Wehrbauer have expanded their settlements to the east, our first true penetration into the heartland of what used to be Russia.\n \nThe success of our colonization of Ingermannland has inspired Nordic settlers from the Scandinavian territories, supported by our recruitment campaigns. We have instilled in them a sense of reclamation of the land that rightfully belonged to the domain of the old Swedish Empire. Similar to the Homestead Act that was used by the United States to encourage settlement into their frontier territories, we have granted free parcels of land to those whom are bold enough to stake a new life for themselves in this wilderness. We owe much of our success to to Goebbels and his brilliant propaganda campaigns.\n \nNow that the cities of Holmgard and Adolfsburg have firmly consolidated control in their respective zones of administration, our final push into Ingermannland has began. What was so unjustly Russified will now be Germanized.;;;;;;;;;;X;
1000633a;What the Swedish Empire lost, the Reich has reclaimed.;;;;;;;;;;X;
1000634name;Generalplan Ost - Ingermannland: Phase Four;;;;;;;;;;;
1000634desc;The very heart of Russia now feels the powerful blow of the German peasant's spade as his strength and indomitable will has civilized this barbaric land. Only the strongest, most resilient stock of the Wehrbauer have survived here, and the ones that have been lost will be forever immortalized in the Hall of the Ost-Pilger, a special monument commissioned by the Führer to honor the sacrifices made by our brave eastern pilgrims that have subdued these lands for the future of European civilization.\n \nOur colonization of Ingermannland has now reached the designated eastern border that was drawn by the Ostministerium. The final steps required for incorporation of this territory into the Reich are now underway. Finding a sufficient number of settlers to lay down roots here has been a difficult task, but we know that the security of this distant territory depends on the success of these efforts.;;;;;;;;;;X;
1000634a;The heart of Russia now pulses with Germanic blood.;;;;;;;;;;X;
1000635name;Generalplan Ost - Ingermannland: Final Integration;;;;;;;;;;;
1000635desc;Our colonization of Ingermannland has reached the level where we can turn over this territory to be integrated into the Reich.;;;;;;;;;;X;
1000635a;The Reichskommissariat has succeeded in its goals!;;;;;;;;;;X;
1000636name;Generalplan Ost - Ingermannland: Final Integration;;;;;;;;;;;
1000636desc;Our colonization of Ingermannland has reached the level where we can turn over this territory to be integrated into the Reich.;;;;;;;;;;X;
1000636a;The Reichskommissariat has succeeded in its goals!;;;;;;;;;;X;
1000637name;Generalplan Ost - Baku: Phase One;;;;;;;;;;;
1000637desc;"The acquisition of the Caucasus oil fields with the city of Baku as a central point of administration is the most valuable single asset gained from Operation Barbarossa. Our investment into the region is well underway, with the German companies Ost-Ol and Karpaten-Ol granted 99-year exclusive contracts in the region for the extraction of crude oil.\n \nEstablishment of the so-called ""Liberation Committee"" of Azerbaijan has been set up as a satellite governing body of the Reich, and the integration of our German administrators into the region is making rapid progress. The first construction phase of critical infrastructure, including modern RADAR and defensive fortifications, has been completed.";;;;;;;;;;X;
1000637a;Baku will become the Reich's fortress in the east.;;;;;;;;;;X;
1000638name;Generalplan Ost - Baku: Phase Two;;;;;;;;;;;
1000638desc;"Progress on Baku is proceeding as scheduled, and a team of German specialists are now conducting surveys in the area. The ""Technical Oil Brigade"" consists of 15,000 highly capable technicians and engineers that have been hand-picked from across Europe in order to construct the most sophisticated oil extraction and refining facilities that the world has ever seen.\n \nOil in this region is extremely close to the surface, enabling us to utilize forced labor to reap results almost immediately. With the success of Operation Barbarossa, however, we are investing into more long-term strategies to make full use of the resources underneath this precious territory.";;;;;;;;;;X;
1000638a;German engineering will astound the world, yet again.;;;;;;;;;;X;
1000639name;Generalplan Ost - Baku: Phase Three;;;;;;;;;;;
1000639desc;Now that the preparation of key industrial and military facilities in Baku is nearing completion, focus has shifted onto tightening our grip over the territory itself. German administrators have taken control of virtually every aspect of daily life in the region, and the local Azeri have grown to accept our rule. The high demand for new labor has prompted a number of German settlers from all over the world to relocate to this area, already causing a considerable demographic shift in Baku itself.\n \nWith the investment of time and appropriate policies, this region may become Germanized. While this is not our specific intent at the moment, it is undeniably an element that we are openly embracing. A interesting fusion of far eastern culture and Germanic influence is creating one of the most distinct communities in the world.;;;;;;;;;;X;
